canton,date_scraped,price_chf,living_area_m2,rooms,location_text,listing_url,source
ZH,2026-03-18,2550.0,70.0,2.5,8600 Dübendorf,https://www.immobilier.ch/en/rent/apartment/zurich/dubendorf/betterhomes-schweiz-ag-611/first-class-for-commuters-1469555,immobilier.ch
ZH,2026-03-18,2960.0,,3.5,Zürich,https://www.immobilier.ch/en/rent/apartment/zurich/zurich/wohnplus-ag-2710/newly-renovated-with-large-sunny-balcony-1470885,immobilier.ch
ZH,2026-03-18,1800.0,76.0,2.5,Winterthur,https://www.immobilier.ch/en/rent/apartment/zurich/winterthur/wincasa-siege-602/your-new-home-in-winterthur-wulflingen-1471397,immobilier.ch
ZH,2026-03-18,5200.0,166.0,4.5,8954 Geroldswil,https://www.immobilier.ch/en/rent/apartment/zurich/geroldswil/immosky-ag-1606/with-concierge-and-on-site-fitness-center-new-building-in-prime-location-1469534,immobilier.ch
ZH,2026-03-18,2430.0,106.0,4.5,Bülach,https://www.immobilier.ch/en/rent/apartment/zurich/bulach/wincasa-siege-602/your-new-home-awaits-you-in-guss-1470901,immobilier.ch
ZH,2026-03-18,1140.0,51.0,2.0,Winterthur,https://www.immobilier.ch/en/rent/apartment/zurich/winterthur/livit-ag-real-estate-management-675/apartment-in-quiet-location-near-the-train-station-available-until-september-30-2027-1467365,immobilier.ch
ZH,2026-03-18,1610.0,64.0,3.0,Uster,https://www.immobilier.ch/en/rent/apartment/zurich/uster/wincasa-siege-602/rent-without-deposit-quiet-child-friendly-1469017,immobilier.ch
ZH,2026-03-18,1751.0,91.0,3.5,Zürich,https://www.immobilier.ch/en/rent/apartment/zurich/zurich/livit-ag-real-estate-management-675/living-in-zurich-hongg-near-meierhofplatz-limited-until-30112028-1470727,immobilier.ch
ZH,2026-03-18,3130.0,120.0,4.5,8907 Wettswil,https://www.immobilier.ch/en/rent/apartment/zurich/wettswil/betterhomes-schweiz-ag-611/quotall-inclusivequot-living-with-low-tax-rate-1471202,immobilier.ch
ZH,2026-03-18,1500.0,72.0,3.5,Glattbrugg,https://www.immobilier.ch/en/rent/apartment/zurich/glattbrugg/livit-ag-real-estate-management-675/4-minute-walk-from-the-s-bahn-station-1468009,immobilier.ch
ZH,2026-03-18,954.0,34.0,1.5,Zürich,https://www.immobilier.ch/en/rent/apartment/zurich/zurich/livit-ag-real-estate-management-675/cozy-15-room-apartment-for-rent-limited-lease-until-28022027-1469054,immobilier.ch
