Year,Canton,Demographic component,value
2022,zurich,Population on 31 December,1579967
2022,berne,Population on 31 December,1051437
2022,lucerne,Population on 31 December,424851
2022,uri,Population on 31 December,37317
2022,schwyz,Population on 31 December,164920
2022,obwald,Population on 31 December,38700
2022,nidwald,Population on 31 December,44420
2022,glaris,Population on 31 December,41471
2022,zoug,Population on 31 December,131164
2022,fribourg,Population on 31 December,334465
2022,soleure,Population on 31 December,282408
2022,bale-ville,Population on 31 December,196786
2022,bale-campagne,Population on 31 December,294417
2022,schaffhouse,Population on 31 December,85214
2022,appenzell-rhodes-exterieures,Population on 31 December,55759
2022,appenzell-rhodes-interieures,Population on 31 December,16416
2022,st-gall,Population on 31 December,525967
2022,grisons,Population on 31 December,202538
2022,argovie,Population on 31 December,711232
2022,thurgovie,Population on 31 December,289650
2022,tessin,Population on 31 December,354023
2022,vaud,Population on 31 December,830431
2022,valais,Population on 31 December,357282
2022,neuchatel,Population on 31 December,176571
2022,geneva,Population on 31 December,514114
2022,jura,Population on 31 December,73865
