iter	RMSE
0	852.6680263
1	829.3504335
2	807.53397
3	786.0489496
4	766.9656667
5	749.895491
6	733.9509142
7	719.0122896
8	703.8777608
9	689.7629381
10	676.8635106
11	665.5102533
12	654.4682859
13	643.7845898
14	634.1125347
15	625.3034983
16	617.0726384
17	609.6151666
18	602.4805812
19	595.4080012
20	589.4182067
21	583.9042052
22	578.3647198
23	573.2359325
24	568.4182294
25	564.4973788
26	560.1328678
27	556.569066
28	553.0283145
29	549.9149019
30	546.7950892
31	544.1560691
32	541.2804364
33	539.1194161
34	536.4100102
35	533.6120865
36	530.8900909
37	528.0864458
38	525.6128959
39	523.7312727
40	521.8611951
41	519.9847062
42	518.1390931
43	516.7475502
44	515.4451131
45	513.4310994
46	512.0455074
47	510.5873819
48	509.6711773
49	508.6230038
50	507.5235635
51	506.5136609
52	505.4091611
53	504.4137258
54	503.3191272
55	502.679521
56	501.8710039
57	500.5691785
58	499.2883387
59	498.1768092
60	497.3850324
61	496.2857302
62	495.5278221
63	493.7324774
64	492.6554795
65	491.7828075
66	491.1836671
67	490.1719072
68	489.1330441
69	488.148366
70	486.9796027
71	485.5417782
72	484.5576368
73	483.3938485
74	482.5069392
75	481.6726496
76	480.7086996
77	480.0797904
78	479.2137358
79	478.4406053
80	477.9878002
81	477.3907291
82	476.2004321
83	475.3862542
84	474.6026648
85	473.827211
86	473.0985634
87	472.3627234
88	471.8691518
89	471.3395935
90	470.7374639
91	470.2466477
92	469.1908317
93	468.7945999
94	468.1233012
95	467.8204553
96	467.2799397
97	466.8797338
98	466.4978428
99	466.1906056
100	465.9452563
101	465.478496
102	465.0799772
103	464.7550266
104	464.5223946
105	464.0907545
106	463.8762713
107	463.1634988
108	462.9978772
109	462.4823223
110	462.1050291
111	461.9509553
112	461.2044823
113	461.1311517
114	460.8278097
115	460.4452685
116	460.2028988
117	459.9785337
118	459.8285044
119	459.5267763
120	459.2692242
121	459.1269732
122	458.6841361
123	458.5777746
124	458.0226938
125	457.7301271
126	457.4887315
127	457.2949299
128	456.5811536
129	456.502739
130	456.4272319
131	456.2979624
132	456.1578349
133	455.8050167
134	455.4791935
135	455.1192389
136	454.8029147
137	454.563182
138	454.3852582
139	453.7274295
140	453.5994071
141	453.2793875
142	452.9522435
143	452.5974711
144	452.3880054
145	452.1213933
146	451.9160866
147	451.6107889
148	451.4673948
149	450.8881903
150	450.672652
151	450.3139551
152	450.0580752
153	449.8997545
154	449.6611026
155	449.301325
156	449.0393981
157	448.8142811
158	448.6705157
159	448.3077156
160	448.2357481
161	448.048542
162	447.7652423
163	447.4748465
164	447.4075111
165	447.2779606
166	447.2081671
167	446.9462036
