iter	Passed	Remaining
0	57	28726
1	58	14634
2	60	10076
3	61	7672
4	62	6216
5	63	5246
6	64	4548
7	66	4071
8	67	3668
9	68	3343
10	69	3075
11	69	2842
12	70	2646
13	72	2512
14	74	2399
15	75	2294
16	76	2186
17	77	2083
18	78	1993
19	79	1912
20	80	1835
21	81	1766
22	82	1707
23	84	1666
24	84	1610
25	85	1561
26	86	1516
27	87	1473
28	88	1437
29	89	1399
30	90	1364
31	91	1331
32	91	1300
33	93	1276
34	93	1248
35	94	1221
36	95	1194
37	96	1172
38	97	1149
39	98	1129
40	99	1108
41	100	1091
42	100	1073
43	101	1054
44	102	1038
45	103	1025
46	104	1009
47	105	992
48	106	976
49	107	963
50	107	949
51	108	937
52	109	925
53	110	912
54	111	900
55	112	893
56	113	882
57	114	872
58	115	861
59	116	855
60	117	846
61	119	841
62	119	831
63	120	821
64	121	811
65	121	801
66	122	794
67	123	786
68	125	781
69	125	772
70	126	764
71	127	756
72	128	749
73	128	741
74	129	734
75	130	727
76	131	720
77	131	713
78	132	707
79	133	701
80	134	694
81	135	689
82	136	683
83	136	677
84	137	671
85	138	665
86	138	659
87	139	653
88	140	648
89	141	642
90	141	636
91	142	631
92	143	626
93	143	621
94	144	616
95	145	613
96	146	609
97	147	604
98	148	599
99	148	595
100	149	591
101	150	587
102	151	583
103	152	579
104	153	576
105	154	572
106	154	568
107	155	565
108	156	560
109	157	557
110	157	553
111	158	550
112	159	546
113	159	541
114	160	537
115	161	535
116	162	533
117	163	530
118	164	527
119	165	524
120	166	520
121	167	517
122	167	514
123	168	511
124	169	507
125	169	504
126	171	502
127	172	500
128	173	497
129	173	494
130	174	492
131	175	489
132	176	486
133	177	483
134	178	481
135	178	478
136	179	476
137	180	473
138	181	470
139	181	467
140	182	464
141	183	461
142	183	458
143	184	456
144	185	453
145	186	451
146	186	448
147	188	447
148	188	444
149	189	442
150	190	440
151	191	437
152	191	434
153	192	432
154	193	429
155	193	427
156	194	425
157	195	423
158	196	422
159	197	419
160	198	418
161	199	416
162	200	415
163	201	413
164	202	410
165	203	408
166	203	406
167	204	404
168	205	402
169	206	400
170	206	398
171	207	396
172	208	394
173	209	392
174	210	390
175	211	388
176	212	387
177	213	385
178	214	385
179	215	383
180	216	381
181	217	380
182	218	378
183	218	376
184	219	374
185	220	372
186	221	371
187	222	369
188	223	368
189	224	366
190	225	364
191	226	363
192	227	361
193	228	360
194	228	358
195	229	356
196	230	354
197	231	352
198	232	351
199	233	349
200	233	347
201	234	346
202	235	344
203	236	343
204	239	344
205	240	342
206	240	340
207	241	339
208	242	337
209	243	335
210	244	334
211	244	332
212	245	330
213	246	329
214	247	327
215	248	327
216	249	324
217	249	323
218	250	321
219	251	320
220	252	318
221	254	318
222	255	317
223	255	315
224	256	313
225	257	312
226	258	310
227	259	309
228	260	308
229	261	306
230	262	305
231	264	305
232	264	303
233	265	302
234	266	300
235	267	299
236	268	297
237	269	296
238	270	295
239	271	294
240	272	292
241	272	291
242	273	289
243	274	288
244	275	286
245	276	285
246	277	284
247	277	282
248	278	281
249	279	279
250	280	278
251	281	277
252	282	275
253	283	274
254	283	272
255	284	271
256	285	269
257	286	268
258	287	267
259	288	266
260	289	264
261	290	263
262	290	262
263	291	260
264	292	259
265	293	257
266	294	256
267	294	255
268	296	254
269	297	253
270	298	252
271	299	250
272	300	249
273	301	248
274	301	246
275	302	245
276	303	244
277	304	242
278	305	242
279	306	240
280	307	239
281	308	238
282	308	236
283	309	235
284	310	234
285	311	232
286	311	231
287	312	230
288	313	228
289	314	227
290	314	226
291	315	225
292	316	223
293	317	222
294	318	221
295	318	219
296	319	218
297	320	217
298	321	215
299	321	214
300	322	213
301	323	212
302	324	210
303	325	209
304	326	208
305	326	207
306	327	206
307	329	205
308	331	204
309	332	203
310	333	202
311	334	201
312	335	200
313	335	198
314	336	197
315	337	196
316	337	195
317	338	193
318	339	192
319	340	191
320	341	190
321	342	189
322	343	188
323	345	187
324	345	186
325	346	185
326	347	183
327	348	182
